role,site_id,filename,duration,sample_rate,rms,spectral_centroid,high_freq_energy,low_freq_energy,acoustic_richness_proxy,bird_activity_proxy,insect_activity_proxy_score,human_disturbance_proxy,acoustic_richness_score,bioacoustic_vitality_score
disturbed,s2lam051_231030,s2lam051_231030_2023-10-31_05-00.wav,60.0,48000,0.004299,6470.18,0.87874,0.021839,1.0,50.42,65.5,30.0,45.0,38.32
disturbed,s2lam051_231030,s2lam051_231030_2023-10-31_05-10.wav,60.0,48000,0.002777,6701.18,0.63732,0.040359,1.0,48.61,9.28,19.86,52.04,27.91
disturbed,s2lam051_231030,s2lam051_231030_2023-10-31_05-20.wav,60.0,48000,0.002421,7182.67,0.5971,0.052308,1.0,49.22,3.86,20.09,53.9,26.97
healthy,s2lam027_231127,s2lam027_231127_2023-12-11_05-00.wav,60.0,48000,0.001647,9222.06,0.630692,0.12261,1.0,48.68,30.63,35.78,53.93,26.95
healthy,s2lam027_231127,s2lam027_231127_2023-12-11_05-10.wav,60.0,48000,0.001747,8925.16,0.713403,0.094884,1.0,53.37,49.53,27.37,53.55,38.59
healthy,s2lam027_231127,s2lam027_231127_2023-12-11_05-20.wav,60.0,48000,0.003165,6850.6,0.900393,0.028839,1.0,66.17,91.36,20.11,46.61,57.8
recovering,s2lam047_231107,s2lam047_231107_2023-11-08_05-00.wav,60.0,48000,0.001731,10446.37,0.713566,0.112103,1.0,47.73,56.88,33.09,51.88,35.17
recovering,s2lam047_231107,s2lam047_231107_2023-11-08_05-10.wav,60.0,48000,0.00195,9924.0,0.772193,0.088842,1.0,42.53,64.84,27.5,48.83,37.36
recovering,s2lam047_231107,s2lam047_231107_2023-11-08_05-20.wav,60.0,48000,0.001912,9573.59,0.702489,0.100391,1.0,46.74,47.85,31.04,51.98,33.12
wet_dry,s2lam096_230823,s2lam096_230823_2023-08-24_05-00.wav,60.0,48000,0.001529,9389.0,0.621073,0.180605,1.0,46.04,28.82,54.36,54.98,16.38
wet_dry,s2lam096_230823,s2lam096_230823_2023-08-24_05-10.wav,60.0,48000,0.001573,9145.07,0.603466,0.2263,1.0,42.85,22.89,70.48,55.0,5.27
